id_klienta;imie;nazwisko;data_urodzenia;znizka;numer_telefonu;adres_email;status_studenta
38;Julia;Dembowska;1995-06-30;0.49;594614716;juliadembowska602@gmail.com;1
39;Aurelia;Wierzbicka;1946-11-30;0.5;186510372;aureliawierzbicka509@onet.pl;0
40;Adrianna;Kotwica;1941-02-28;0.5;477167163;adriannakotwica031@gmail.com;0
41;Lilianna;Stelmach;1973-05-31;0.75;711641438;liliannastelmach658@gmail.com;0
42;Antonina;Bielak;1938-03-31;0.5;336109912;antoninabielak025@wp.pl;0
43;Barbara;Jurga;1980-01-31;0.85;327497898;barbarajurga188@gmail.com;0
44;Nadia;Jakóbczak;1982-04-30;0.85;213361651;nadiajakóbczak723@gmail.com;0
45;Karolina;Grochala;1992-11-30;0.9;179415977;karolinagrochala914@gmail.com;0
46;Weronika;Kuś;1933-10-31;0.5;300067050;weronikakuś442@gmail.com;0
47;Karolina;Wojnicka;2005-06-30;1.0;542886038;karolinawojnicka577@wp.pl;0
48;Nina;Bajor;1944-04-30;0.5;675260063;ninabajor882@gmail.com;0
49;Marcelina;Handzlik;1971-03-31;0.75;917217826;marcelinahandzlik426@gmail.com;0
50;Sara;Jakubas;1970-05-31;0.75;556805698;sarajakubas547@gmail.com;0
51;Kinga;Fortuna;1988-10-31;0.9;936553379;kingafortuna521@onet.pl;0
52;Wanda;Grygier;1964-03-31;0.65;117927440;wandagrygier515@wp.pl;0
53;Łucja;Filipiak;1971-03-31;0.75;289662040;łucjafilipiak070@onet.pl;0
54;Matylda;Struk;1996-02-29;1.0;577913302;matyldastruk248@wp.pl;0
55;Róża;Kwolek;1981-03-31;0.85;500428518;różakwolek647@wp.pl;0
56;Liwia;Rakowska;1989-06-30;0.9;331267796;liwiarakowska832@onet.pl;0
57;Gaja;Kogut;1926-10-31;0.5;189229614;gajakogut399@wp.pl;0
58;Marianna;Leśna;1934-07-31;0.5;676274388;mariannaleśna229@onet.pl;0
59;Pola;Jaworek;1964-02-29;0.65;334102960;polajaworek290@gmail.com;0
60;Agata;Okońska;1947-06-30;0.5;307990207;agataokońska995@gmail.com;0
61;Liwia;Szczur;1958-11-30;0.65;783806655;liwiaszczur693@onet.pl;0
62;Sara;Płochocka;2002-05-31;0.49;372372954;sarapłochocka636@wp.pl;1
63;Nela;Wacławik;1950-09-30;0.5;154862718;nelawacławik610@wp.pl;0
64;Pola;Kierzkowska;1989-09-30;0.9;139922639;polakierzkowska275@onet.pl;0
65;Kinga;Baca;1929-03-31;0.5;966753286;kingabaca527@onet.pl;0
66;Melania;Biesiada;1964-06-30;0.65;900504699;melaniabiesiada403@onet.pl;0
67;Maja;Błoch;2006-11-30;1.0;390943860;majabłoch123@onet.pl;0
68;Agata;Schulz;1966-08-31;0.75;976914254;agataschulz251@wp.pl;0
69;Marcelina;Chomicz;1961-08-31;0.65;142095238;marcelinachomicz731@gmail.com;0
70;Natalia;Nikiel;1991-05-31;0.9;461523482;natalianikiel566@wp.pl;0
71;Natalia;Meller;1976-05-31;0.85;536691885;nataliameller608@wp.pl;0
72;Anastazja;Golińska;1960-01-31;0.65;813951266;anastazjagolińska635@wp.pl;0
73;Michalina;Maćkiewicz;1989-07-31;0.9;527616390;michalinamaćkiewicz101@wp.pl;0
74;Rozalia;Olechowska;1962-04-30;0.65;103688490;rozaliaolechowska284@wp.pl;0
75;Marianna;Rolka;1946-11-30;0.5;922363199;mariannarolka384@onet.pl;0
76;Emilia;Fronczak;1972-05-31;0.75;724219007;emiliafronczak236@gmail.com;0
77;Milena;Kawka;1952-11-30;0.5;237467166;milenakawka045@onet.pl;0
78;Lilianna;Skolimowska;2004-04-30;0.49;266103223;liliannaskolimowska792@gmail.com;1
79;Anna;Zaremba;1946-01-31;0.5;390878757;annazaremba493@onet.pl;0
80;Wiktoria;Wacławska;1993-03-31;0.9;324436638;wiktoriawacławska027@onet.pl;0
81;Lilianna;Ławecka;1978-11-30;0.85;872804430;liliannaławecka641@wp.pl;0
82;Blanka;Grzywacz;1994-07-31;0.9;680477506;blankagrzywacz171@onet.pl;0
83;Kinga;Chmielińska;2003-01-31;0.49;761884746;kingachmielińska821@onet.pl;1
84;Sara;Cyganek;1954-11-30;0.5;447857305;saracyganek677@wp.pl;0
85;Iga;Siwicka;2006-02-28;1.0;482779393;igasiwicka017@onet.pl;0
86;Agata;Lubas;1934-01-31;0.5;381805748;agatalubas478@wp.pl;0
87;Magdalena;Śliwowska;1935-08-31;0.5;631535017;magdalenaśliwowska371@onet.pl;0
88;Natalia;Szypulska;1974-07-31;0.75;990239597;nataliaszypulska864@wp.pl;0
89;Natalia;Danielewicz;1975-03-31;0.85;215450146;nataliadanielewicz052@onet.pl;0
90;Julia;Kuznetsova;1940-01-31;0.5;307503418;juliakuznetsova265@onet.pl;0
91;Magdalena;Piecha;1936-05-31;0.5;308010792;magdalenapiecha281@wp.pl;0
92;Anastazja;Kusy;1960-10-31;0.65;596314861;anastazjakusy983@gmail.com;0
93;Róża;Jaczewska;2005-02-28;1.0;199509869;różajaczewska569@wp.pl;0
94;Melania;Kowalik;1993-11-30;0.9;474896700;melaniakowalik323@gmail.com;0
95;Iga;Jarzębowska;1975-09-30;0.85;586984451;igajarzębowska905@wp.pl;0
96;Michalina;Maciołek;1972-07-31;0.75;596783196;michalinamaciołek963@wp.pl;0
97;Julia;Fąfara;1998-06-30;1.0;394966345;juliafąfara193@gmail.com;0
98;Iga;Zych;1970-08-31;0.75;832343921;igazych291@wp.pl;0
99;Maja;Małysz;1988-11-30;0.9;629811609;majamałysz105@wp.pl;0
100;Melania;Osiak;1935-11-30;0.5;463881530;melaniaosiak223@wp.pl;0
101;Kornelia;Bilicka;1964-05-31;0.65;890712154;korneliabilicka464@wp.pl;0
102;Magdalena;Olek;1926-03-31;0.5;104477485;magdalenaolek988@onet.pl;0
103;Sara;Skolimowska;1964-01-31;0.65;407369886;saraskolimowska898@onet.pl;0
104;Wiktoria;Cybula;2002-08-31;0.49;901420729;wiktoriacybula204@onet.pl;1
105;Marcelina;Żurawska;1992-12-31;0.9;317634312;marcelinażurawska092@gmail.com;0
106;Jagoda;Kachel;1960-12-31;0.65;322811921;jagodakachel646@gmail.com;0
107;Adrianna;Waśkiewicz;1931-07-31;0.5;826061301;adriannawaśkiewicz012@gmail.com;0
108;Barbara;Najda;2002-01-31;0.49;496771780;barbaranajda721@gmail.com;1
109;Hanna;Karaszewska;1993-01-31;0.9;918467285;hannakaraszewska723@onet.pl;0
110;Zuzanna;Chaika;1927-04-30;0.5;431779181;zuzannachaika352@wp.pl;0
111;Kornelia;Jędrych;1962-07-31;0.65;710750721;korneliajędrych950@onet.pl;0
112;Wiktoria;Palmowska;1978-04-30;0.85;904621968;wiktoriapalmowska949@wp.pl;0
113;Maria;Banaszczyk;2004-03-31;0.49;720274634;mariabanaszczyk719@gmail.com;1
114;Eliza;Szopińska;1996-10-31;0.49;445805582;elizaszopińska147@wp.pl;1
115;Hanna;Dembowska;1979-12-31;0.85;112456957;hannadembowska297@wp.pl;0
116;Aurelia;Jurak;2000-05-31;0.49;807230169;aureliajurak490@wp.pl;1
117;Aniela;Miśta;1961-09-30;0.65;298583448;anielamiśta154@gmail.com;0
118;Rozalia;Kobyłecka;1933-07-31;0.5;603369555;rozaliakobyłecka743@gmail.com;0
119;Helena;Saternus;1953-12-31;0.5;997186832;helenasaternus400@gmail.com;0
120;Rozalia;Szymiczek;1966-11-30;0.75;720864014;rozaliaszymiczek656@wp.pl;0
121;Emilia;Szafarczyk;1954-07-31;0.5;445830281;emiliaszafarczyk218@onet.pl;0
122;Antonina;Budzisz;1953-12-31;0.5;806255610;antoninabudzisz771@wp.pl;0
123;Sara;Bielawska;1933-07-31;0.5;734289737;sarabielawska253@gmail.com;0
124;Alicja;Jurkiewicz;1995-09-30;0.49;654761710;alicjajurkiewicz920@wp.pl;1
125;Oliwia;Majkowska;1975-09-30;0.85;733600409;oliwiamajkowska534@wp.pl;0
126;Zuzanna;Rozmus;1990-01-31;0.9;660490197;zuzannarozmus910@wp.pl;0
127;Antonina;Zhuk;1945-06-30;0.5;667284258;antoninazhuk651@onet.pl;0
128;Rozalia;Pazdan;1972-06-30;0.75;745679102;rozaliapazdan378@onet.pl;0
129;Gaja;Pawelczyk;1990-02-28;0.9;327518657;gajapawelczyk167@gmail.com;0
130;Anna;Mierzyńska;1939-07-31;0.5;241682436;annamierzyńska525@gmail.com;0
131;Aurelia;Mądry;1927-10-31;0.5;137174226;aureliamądry582@wp.pl;0
132;Lena;Pałczyńska;1952-07-31;0.5;621251416;lenapałczyńska215@onet.pl;0
133;Kinga;Michna;1999-05-31;0.49;347116529;kingamichna958@wp.pl;1
134;Michalina;Wojtczak;1991-04-30;0.9;158500753;michalinawojtczak417@onet.pl;0
135;Maja;Grabarczyk;1930-05-31;0.5;138447623;majagrabarczyk821@onet.pl;0
136;Gabriela;Chmura;1989-04-30;0.9;201542010;gabrielachmura779@wp.pl;0
137;Matylda;Ossowska;2001-12-31;0.49;117692229;matyldaossowska623@gmail.com;1
138;Julia;Wiejak;1981-11-30;0.85;337117094;juliawiejak527@wp.pl;0
139;Karolina;Majer;1990-12-31;0.9;172217108;karolinamajer468@gmail.com;0
140;Liliana;Janek;1999-11-30;0.49;260617559;lilianajanek490@onet.pl;1
141;Aleksandra;Sondej;1946-06-30;0.5;449511197;aleksandrasondej938@gmail.com;0
142;Lilianna;Kulikowska;1930-03-31;0.5;350714662;liliannakulikowska014@onet.pl;0
143;Klara;Marzec;1985-02-28;0.9;599856923;klaramarzec469@gmail.com;0
144;Klara;Wojtecka;1964-04-30;0.65;418307052;klarawojtecka776@gmail.com;0
145;Liwia;Polaczek;1999-06-30;0.49;293160884;liwiapolaczek483@onet.pl;1
146;Liwia;Kotulska;1950-09-30;0.5;905224382;liwiakotulska750@wp.pl;0
147;Barbara;Fic;1979-12-31;0.85;344300892;barbarafic134@wp.pl;0
148;Natalia;Mielewczyk;1950-06-30;0.5;616180773;nataliamielewczyk491@gmail.com;0
149;Wiktoria;Misztela;1970-12-31;0.75;970202658;wiktoriamisztela533@onet.pl;0
150;Aleksandra;Tyrała;1993-11-30;0.9;827968304;aleksandratyrała162@onet.pl;0
151;Aurelia;Sienkiewicz;1981-09-30;0.85;123877417;aureliasienkiewicz158@gmail.com;0
152;Kinga;Kardasz;1979-10-31;0.85;814747615;kingakardasz771@wp.pl;0
153;Wiktoria;Lupa;2006-01-31;1.0;913983498;wiktorialupa387@onet.pl;0
154;Jaśmina;Łysakowska;1977-08-31;0.85;639778495;jaśminałysakowska091@gmail.com;0
155;Nela;Humeniuk;1970-11-30;0.75;947598771;nelahumeniuk919@onet.pl;0
156;Liliana;Gil;1930-04-30;0.5;291118395;lilianagil261@gmail.com;0
157;Lilianna;Rzeczkowska;1985-07-31;0.9;318503338;liliannarzeczkowska256@onet.pl;0
158;Helena;Staniek;1961-12-31;0.65;242128704;helenastaniek495@wp.pl;0
159;Matylda;Przybyłowicz;1976-11-30;0.85;395800852;matyldaprzybyłowicz389@onet.pl;0
160;Klara;Migas;2002-01-31;0.49;355531478;klaramigas567@wp.pl;1
161;Michalina;Popko;1996-02-29;1.0;395346920;michalinapopko137@wp.pl;0
162;Wiktoria;Dawidowicz;1980-10-31;0.85;925041910;wiktoriadawidowicz944@onet.pl;0
163;Anna;Woźna;1935-11-30;0.5;247280638;annawoźna835@onet.pl;0
164;Nikola;Palka;1990-06-30;0.9;976033993;nikolapalka950@gmail.com;0
165;Marianna;Kielak;1931-08-31;0.5;994574511;mariannakielak695@gmail.com;0
166;Helena;Świniarska;1933-04-30;0.5;707616921;helenaświniarska799@wp.pl;0
167;Maria;Makuła;1993-08-31;0.49;356417868;mariamakuła433@gmail.com;1
168;Kinga;Ławicka;1960-01-31;0.65;941777772;kingaławicka933@gmail.com;0
169;Julia;Sajdak;2006-12-31;1.0;102051728;juliasajdak384@wp.pl;0
170;Magdalena;Danilewicz;1932-07-31;0.5;799428491;magdalenadanilewicz716@gmail.com;0
171;Nikola;Wasilewska;1943-07-31;0.5;973228565;nikolawasilewska653@onet.pl;0
172;Maria;Mańka;1963-02-28;0.65;494562517;mariamańka755@gmail.com;0
173;Gaja;Michalska;1965-01-31;0.65;202140005;gajamichalska810@wp.pl;0
174;Maria;Dmytruk;2005-03-31;1.0;615269575;mariadmytruk057@gmail.com;0
175;Magdalena;Pałczyńska;2006-02-28;1.0;122323019;magdalenapałczyńska351@wp.pl;0
176;Jaśmina;Walczewska;2005-11-30;1.0;543008759;jaśminawalczewska228@onet.pl;0
177;Lena;Chwastek;1960-11-30;0.65;464395827;lenachwastek877@gmail.com;0
178;Anna;Sternal;1934-05-31;0.5;699095365;annasternal085@onet.pl;0
179;Mia;Porada;1950-01-31;0.5;655589695;miaporada937@gmail.com;0
180;Lena;Jędrasik;1980-06-30;0.85;295561899;lenajędrasik326@onet.pl;0
181;Magdalena;Antkowiak;1979-09-30;0.85;572317775;magdalenaantkowiak068@wp.pl;0
182;Mia;Turek;1928-02-29;0.5;699973579;miaturek351@gmail.com;0
183;Maria;Bykowska;1952-08-31;0.5;328879284;mariabykowska479@onet.pl;0
184;Nina;Kasperek;2003-10-31;0.49;171735737;ninakasperek890@gmail.com;1
185;Eliza;Ryczek;1942-03-31;0.5;730446569;elizaryczek555@onet.pl;0
186;Aurelia;Łączyńska;2003-06-30;0.49;347725397;aureliałączyńska380@onet.pl;1
187;Jaśmina;Krzyżańska;1941-10-31;0.5;328966795;jaśminakrzyżańska669@onet.pl;0
188;Milena;Urban;1943-04-30;0.5;974011181;milenaurban008@wp.pl;0
189;Alicja;Walaszczyk;1974-07-31;0.75;394804081;alicjawalaszczyk021@wp.pl;0
190;Michalina;Górna;1973-01-31;0.75;563408066;michalinagórna249@gmail.com;0
191;Oliwia;Krzyżanowska;1961-04-30;0.65;933616334;oliwiakrzyżanowska628@wp.pl;0
192;Marcelina;Matuła;1997-10-31;1.0;453630880;marcelinamatuła920@wp.pl;0
193;Maria;Szuszkiewicz;1989-06-30;0.9;185754750;mariaszuszkiewicz752@gmail.com;0
194;Jaśmina;Kurdziel;1955-04-30;0.65;365192572;jaśminakurdziel802@gmail.com;0
195;Anastazja;Rybka;1948-06-30;0.5;962834994;anastazjarybka321@gmail.com;0
196;Helena;Stanisz;1974-08-31;0.75;805618467;helenastanisz708@wp.pl;0
197;Aleksandra;Doniec;1958-11-30;0.65;501195823;aleksandradoniec272@wp.pl;0
198;Róża;Dulska;1957-07-31;0.65;759298625;różadulska711@onet.pl;0
199;Michalina;Michalczuk;1958-07-31;0.65;533687542;michalinamichalczuk352@gmail.com;0
200;Marcelina;Słowik;2004-04-30;0.49;889393340;marcelinasłowik806@wp.pl;1
201;Maria;Knap;1965-09-30;0.75;358488452;mariaknap960@onet.pl;0
202;Maja;Tęcza;1973-08-31;0.75;980250278;majatęcza977@onet.pl;0
203;Laura;Polańska;1986-06-30;0.9;264783135;laurapolańska599@onet.pl;0
204;Marcelina;Domin;1987-06-30;0.9;287938055;marcelinadomin050@wp.pl;0
205;Lena;Mrugała;1973-07-31;0.75;280145822;lenamrugała224@wp.pl;0
206;Zofia;Marchel;1957-04-30;0.65;656427008;zofiamarchel096@onet.pl;0
207;Zuzanna;Rutkiewicz;1942-02-28;0.5;576635102;zuzannarutkiewicz858@gmail.com;0
208;Agata;Krześniak;1972-12-31;0.75;809790235;agatakrześniak037@gmail.com;0
209;Liwia;Lenczewska;1970-06-30;0.75;395799193;liwialenczewska269@onet.pl;0
210;Hanna;Matejko;1970-07-31;0.75;648336145;hannamatejko191@wp.pl;0
211;Agata;Richter;2003-02-28;0.49;232298252;agatarichter695@wp.pl;1
212;Alicja;Siwiec;1994-01-31;0.9;197151753;alicjasiwiec337@onet.pl;0
213;Zuzanna;Puzio;1933-04-30;0.5;223197348;zuzannapuzio722@wp.pl;0
214;Wanda;Niedziałkowska;1933-07-31;0.5;346610932;wandaniedziałkowska297@wp.pl;0
215;Laura;Pobłocka;1963-12-31;0.65;754158696;laurapobłocka429@onet.pl;0
216;Rozalia;Torba;1967-06-30;0.75;520667403;rozaliatorba990@onet.pl;0
217;Amelia;Wawrowska;1933-01-31;0.5;458971022;ameliawawrowska002@wp.pl;0
218;Weronika;Modrzyńska;1955-05-31;0.65;440603998;weronikamodrzyńska794@gmail.com;0
219;Helena;Langner;1964-08-31;0.65;358614264;helenalangner432@wp.pl;0
220;Magdalena;Oleś;1991-12-31;0.9;480909977;magdalenaoleś195@wp.pl;0
221;Gabriela;Chromińska;1975-09-30;0.85;764457147;gabrielachromińska854@onet.pl;0
222;Barbara;Humeniuk;1960-10-31;0.65;640900353;barbarahumeniuk530@wp.pl;0
223;Jaśmina;Szukalska;1957-01-31;0.65;524922632;jaśminaszukalska898@gmail.com;0
224;Blanka;Glińska;1948-04-30;0.5;103308981;blankaglińska282@onet.pl;0
225;Emilia;Więcław;1965-09-30;0.75;364513385;emiliawięcław620@onet.pl;0
226;Wiktoria;Filipczuk;1927-01-31;0.5;804876112;wiktoriafilipczuk373@wp.pl;0
227;Nikola;Ratyńska;1973-12-31;0.75;600169420;nikolaratyńska251@onet.pl;0
228;Róża;Moskal;1948-07-31;0.5;733208331;różamoskal366@gmail.com;0
229;Barbara;Żywicka;1995-02-28;1.0;417791559;barbarażywicka944@gmail.com;0
230;Michalina;Fijałkowska;1967-02-28;0.75;242844414;michalinafijałkowska855@gmail.com;0
231;Klara;Wrzos;1930-12-31;0.5;446503863;klarawrzos433@onet.pl;0
232;Laura;Komar;1965-12-31;0.75;216154834;laurakomar304@onet.pl;0
233;Martyna;Kozieł;1958-04-30;0.65;241067779;martynakozieł886@wp.pl;0
234;Laura;Jakubek;1937-03-31;0.5;478735768;laurajakubek252@onet.pl;0
235;Melania;Poliakova;1957-05-31;0.65;918152193;melaniapoliakova612@gmail.com;0
236;Mia;Mikuła;1992-11-30;0.9;500138966;miamikuła260@onet.pl;0
237;Jagoda;Żelazko;1994-04-30;0.49;224331801;jagodażelazko284@wp.pl;1
238;Blanka;Jachowicz;1987-12-31;0.9;893044197;blankajachowicz301@wp.pl;0
239;Aniela;Koprowska;1973-01-31;0.75;712074993;anielakoprowska999@wp.pl;0
240;Eliza;Martyna;1994-11-30;0.49;393085648;elizamartyna363@gmail.com;1
241;Eliza;Sobczuk;1938-09-30;0.5;733049429;elizasobczuk586@wp.pl;0
242;Anna;Łyszczarz;1978-05-31;0.85;494582976;annałyszczarz507@gmail.com;0
243;Jaśmina;Dereń;1962-05-31;0.65;283828439;jaśminadereń194@wp.pl;0
244;Liwia;Fryc;1977-04-30;0.85;879040465;liwiafryc164@onet.pl;0
245;Mia;Kaczmarzyk;1978-12-31;0.85;738131776;miakaczmarzyk411@onet.pl;0
246;Iga;Sala;1988-05-31;0.9;568639237;igasala602@wp.pl;0
247;Nadia;Pawluk;1978-10-31;0.85;318752176;nadiapawluk749@wp.pl;0
248;Michalina;Rutkowska;1992-03-31;0.9;493694612;michalinarutkowska622@gmail.com;0
249;Melania;Pączek;1979-01-31;0.85;720392915;melaniapączek532@onet.pl;0
250;Lilianna;Piwowarczyk;1957-04-30;0.65;991366580;liliannapiwowarczyk564@onet.pl;0
251;Klara;Klimek;1977-11-30;0.85;635108882;klaraklimek900@gmail.com;0
252;Magdalena;Szwed;1964-05-31;0.65;735331614;magdalenaszwed412@wp.pl;0
253;Melania;Borkowska;1999-03-31;1.0;823429314;melaniaborkowska748@wp.pl;0
254;Klara;Konecka;2003-04-30;0.49;793294867;klarakonecka266@onet.pl;1
255;Matylda;Włoch;1965-06-30;0.75;686845836;matyldawłoch492@gmail.com;0
256;Klara;Strączek;1980-04-30;0.85;128762987;klarastrączek619@gmail.com;0
257;Matylda;Kwak;1983-03-31;0.85;288881692;matyldakwak369@onet.pl;0
258;Nela;Kaszewska;1962-08-31;0.65;234550621;nelakaszewska363@onet.pl;0
259;Rozalia;Adamkiewicz;1929-06-30;0.5;199819209;rozaliaadamkiewicz682@gmail.com;0
260;Maja;Andrysiak;1952-12-31;0.5;238021716;majaandrysiak719@onet.pl;0
261;Nina;Adamczak;1982-11-30;0.85;484469799;ninaadamczak585@onet.pl;0
262;Rozalia;Adamczewska;1964-12-31;0.65;238444228;rozaliaadamczewska921@gmail.com;0
263;Jagoda;Kacprzyk;1956-08-31;0.65;541488957;jagodakacprzyk578@onet.pl;0
264;Michalina;Dragan;1971-04-30;0.75;915872911;michalinadragan283@onet.pl;0
265;Antonina;Rząsa;2002-04-30;0.49;613089953;antoninarząsa246@gmail.com;1
266;Barbara;Nesterenko;1967-12-31;0.75;961498512;barbaranesterenko945@gmail.com;0
267;Lilianna;Wąs;1977-04-30;0.85;838628301;liliannawąs633@onet.pl;0
268;Weronika;Żylińska;1930-01-31;0.5;920553837;weronikażylińska302@gmail.com;0
269;Iga;Madalińska;1966-04-30;0.75;449235014;igamadalińska219@onet.pl;0
270;Magdalena;Mikos;1960-05-31;0.65;317598987;magdalenamikos758@onet.pl;0
271;Klara;Handzel;2006-09-30;1.0;895506803;klarahandzel132@onet.pl;0
272;Julia;Zaborowska;1995-08-31;0.49;941183610;juliazaborowska611@onet.pl;1
273;Emilia;Polańska;2006-07-31;1.0;701720069;emiliapolańska919@gmail.com;0
274;Barbara;Manikowska;1930-09-30;0.5;949140545;barbaramanikowska498@wp.pl;0
275;Nina;Herbut;1972-07-31;0.75;728063559;ninaherbut646@gmail.com;0
276;Wanda;Bogacka;1933-05-31;0.5;807007105;wandabogacka416@gmail.com;0
277;Aurelia;Piecyk;1963-06-30;0.65;693109884;aureliapiecyk201@gmail.com;0
278;Rozalia;Kryger;1980-01-31;0.85;368392496;rozaliakryger448@wp.pl;0
279;Gabriela;Bondarenko;1931-02-28;0.5;242620095;gabrielabondarenko840@onet.pl;0
280;Adrianna;Wojciechowska;1989-05-31;0.9;162877103;adriannawojciechowska595@wp.pl;0
281;Zofia;Sobierajska;1960-06-30;0.65;516519689;zofiasobierajska162@onet.pl;0
282;Róża;Korus;1970-01-31;0.75;362041377;różakorus484@onet.pl;0
283;Marcelina;Romanik;1952-12-31;0.5;913156832;marcelinaromanik793@wp.pl;0
284;Alicja;Kostiuk;1946-02-28;0.5;481415894;alicjakostiuk911@gmail.com;0
285;Kaja;Marchlewska;1951-12-31;0.5;502005448;kajamarchlewska289@wp.pl;0
286;Marianna;Żuraw;1991-11-30;0.9;612885063;mariannażuraw054@gmail.com;0
287;Maria;Kozińska;1981-04-30;0.85;829663132;mariakozińska552@wp.pl;0
288;Maria;Badowska;1989-01-31;0.9;653333906;mariabadowska587@gmail.com;0
289;Helena;Oleksy;1984-02-29;0.85;694873643;helenaoleksy892@wp.pl;0
290;Aniela;Piekut;1994-05-31;0.49;281285425;anielapiekut259@wp.pl;1
291;Róża;Kasperska;1997-05-31;0.49;897111900;różakasperska385@onet.pl;1
292;Jaśmina;Łoza;2004-09-30;0.49;145657777;jaśminałoza342@gmail.com;1
293;Aurelia;Skałecka;2007-10-31;1.0;694254332;aureliaskałecka657@onet.pl;0
294;Marcelina;Kośla;1926-06-30;0.5;575409611;marcelinakośla080@onet.pl;0
295;Weronika;Ciepiela;1999-11-30;0.49;612620154;weronikaciepiela355@wp.pl;1
296;Gabriela;Cieślik;1927-05-31;0.5;262133268;gabrielacieślik003@onet.pl;0
297;Alicja;Dmytrenko;1968-10-31;0.75;591863457;alicjadmytrenko493@gmail.com;0
298;Aniela;Umińska;1956-12-31;0.65;396020569;anielaumińska939@gmail.com;0
299;Barbara;Kropidłowska;1932-12-31;0.5;982154202;barbarakropidłowska083@wp.pl;0
300;Maria;Gonera;1993-01-31;0.9;969584112;mariagonera640@gmail.com;0
301;Zuzanna;Strzelczyk;2006-08-31;1.0;984249624;zuzannastrzelczyk123@wp.pl;0
302;Amelia;Dobies;1960-04-30;0.65;749592073;ameliadobies801@gmail.com;0
303;Matylda;Czapiewska;1933-12-31;0.5;215279451;matyldaczapiewska620@onet.pl;0
304;Klara;Surowiec;1992-09-30;0.9;752710267;klarasurowiec298@gmail.com;0
305;Helena;Guzy;1931-10-31;0.5;846346714;helenaguzy912@onet.pl;0
306;Gabriela;Czernecka;1945-12-31;0.5;634372995;gabrielaczernecka901@wp.pl;0
