id_klienta;imię;nazwisko;data_urodzenia;numer telefonu;adres email;status_studenta
129;Tymoteusz;Ławrynowicz;2004-10-31;200924640;tymoteuszławrynowicz974@wp.pl;1
130;Antoni;Pokorski;2001-04-30;715492142;antonipokorski639@gmail.com;0
131;Henryk;Iwanowicz;1997-04-30;220758934;henrykiwanowicz919@onet.pl;0
132;Antoni;Marchenko;1998-01-31;613641555;antonimarchenko438@gmail.com;0
133;Tadeusz;Grabiński;2001-07-31;721898648;tadeuszgrabiński039@onet.pl;0
134;Kazimierz;Łopatka;2002-08-31;920552902;kazimierzłopatka811@onet.pl;0
135;Nikodem;Wilk;2000-11-30;572488335;nikodemwilk571@wp.pl;0
136;Wojciech;Kosieradzki;2001-12-31;301328519;wojciechkosieradzki687@onet.pl;1
137;Alan;Grochowski;2001-08-31;332405319;alangrochowski472@onet.pl;0
138;Wojciech;Plewka;1998-12-31;706362450;wojciechplewka692@wp.pl;0
139;Igor;Woźnica;1995-01-31;214327613;igorwoźnica252@onet.pl;0
140;Milan;Cieszkowski;2001-10-31;470578582;milancieszkowski934@wp.pl;0
141;Bruno;Nadolski;1997-03-31;824345970;brunonadolski677@gmail.com;0
142;Alan;Olszowski;1995-08-31;175411942;alanolszowski164@wp.pl;0
143;Daniel;Ochał;2001-03-31;272819536;danielochał858@wp.pl;0
144;Krzysztof;Byrski;1998-04-30;990699803;krzysztofbyrski325@onet.pl;0
145;Krzysztof;Blicharski;1996-01-31;416148903;krzysztofblicharski542@gmail.com;0
146;Tomasz;Rusek;1994-08-31;699005539;tomaszrusek026@gmail.com;0
147;Paweł;Ciepiela;2002-06-30;720723819;pawełciepiela663@onet.pl;0
148;Borys;Grzywacz;1999-04-30;375698452;borysgrzywacz326@wp.pl;0
149;Filip;Mordarski;2003-05-31;893705593;filipmordarski985@onet.pl;1
150;Michał;Kasperski;1996-04-30;333901301;michałkasperski638@gmail.com;0
