id_osoby_bliskiej;imie;nazwisko;numer_telefonu;adres_email
45;IGOR;BŁACHUT;166532348;igorbłachut975@gmail.com
46;MARCEL;POPEK;112127540;marcelpopek765@onet.pl
47;BRUNO;KĄDZIELA;199570877;brunokądziela166@gmail.com
48;GABRIELA;BĄKOWSKA;627792454;gabrielabąkowska229@gmail.com
49;MATEUSZ;KIRAGA;653313716;mateuszkiraga059@wp.pl
50;JAKUB;MILEWSKI;392022886;jakubmilewski550@wp.pl
51;IGOR;BIZOŃ;673470305;igorbizoń616@onet.pl
52;MIŁOSZ;SZUL;665191493;miłoszszul001@onet.pl
53;SZYMON;BALCERZAK;920143956;szymonbalcerzak606@onet.pl
54;MARTYNA;ZAGÓRSKA;557634472;martynazagórska747@wp.pl
55;WERONIKA;OGÓREK;216984429;weronikaogórek559@onet.pl
56;KRZYSZTOF;KUS;864001245;krzysztofkus672@wp.pl
57;ALEKSANDER;KUMAR;986620732;aleksanderkumar545@gmail.com
58;TYMOTEUSZ;BERNAŚ;595429703;tymoteuszbernaś925@gmail.com
59;MARCELINA;MARUSZEWSKA;838497414;marcelinamaruszewska413@onet.pl
60;EMILIA;OLCHAWA;659182870;emiliaolchawa842@onet.pl
61;BLANKA;GOLONKA;604482048;blankagolonka530@wp.pl
62;LILIANNA;STOLC;594709023;liliannastolc224@onet.pl
63;NATAN;RAPACZ;107781675;natanrapacz244@gmail.com
64;BLANKA;FRONTCZAK;625116156;blankafrontczak068@onet.pl
65;LAURA;TERESHCHENKO;615335655;lauratereshchenko446@gmail.com
66;ZOFIA;BOCZKOWSKA;946648611;zofiaboczkowska672@wp.pl
67;RÓŻA;WIECZOREK;840892661;różawieczorek376@onet.pl
68;HUBERT;PIORUN;333162241;hubertpiorun147@onet.pl
69;MIA;KRAWCZYŃSKA;935581499;miakrawczyńska320@gmail.com
70;WANDA;GOŁAŚ;639846420;wandagołaś972@wp.pl
71;TEODOR;WALKIEWICZ;936938826;teodorwalkiewicz732@wp.pl
72;ANTONI;WILKOSZ;525228167;antoniwilkosz978@gmail.com
73;AURELIA;HERBUT;516685040;aureliaherbut810@wp.pl
74;JAŚMINA;GAJEWSKA;754540675;jaśminagajewska749@onet.pl
75;JAGODA;PUZIO;814706819;jagodapuzio966@wp.pl
76;PAWEŁ;BOŻYK;314162428;pawełbożyk586@wp.pl
77;CEZARY;JANUSZ;107924992;cezaryjanusz362@wp.pl
78;ANIELA;WALCZUK;269822730;anielawalczuk620@gmail.com
79;PIOTR;BIEL;603001696;piotrbiel726@wp.pl
80;KAJA;LIPIEC;833119169;kajalipiec564@gmail.com
81;PAWEŁ;SZMIGIELSKI;854665051;pawełszmigielski908@gmail.com
82;FILIP;MAGDA;498081001;filipmagda451@gmail.com
83;JULIAN;KARPIEL;794607637;juliankarpiel244@onet.pl
84;BARTŁOMIEJ;PIETRAS;581284500;bartłomiejpietras197@onet.pl
85;WIKTOR;BUKAŁA;959641514;wiktorbukała512@gmail.com
86;KACPER;ANTOSIEWICZ;850273871;kacperantosiewicz579@gmail.com
87;MAJA;MAĆKIEWICZ;143618010;majamaćkiewicz833@onet.pl
88;LAURA;WARCHOŁ;149654148;laurawarchoł873@wp.pl
89;RÓŻA;GRZEGORZEWSKA;858778984;różagrzegorzewska334@onet.pl
90;TOMASZ;HONCHAROV;314954027;tomaszhoncharov343@gmail.com
91;ADAM;KAWECKI;687518883;adamkawecki455@wp.pl
92;BARTOSZ;ŁAWRYNOWICZ;799089195;bartoszławrynowicz256@wp.pl
93;LILIANA;NIKOLAIEVA;802450058;liliananikolaieva810@gmail.com
94;OLIWIA;MIRGA;291109989;oliwiamirga203@wp.pl
95;IGNACY;TALAREK;634595592;ignacytalarek233@gmail.com
96;KAROLINA;LASAK;794079841;karolinalasak679@gmail.com
97;OSKAR;JARZĄB;102023499;oskarjarząb631@onet.pl
98;ŁUCJA;WĄŻ;176685735;łucjawąż008@gmail.com
99;ALEKSANDER;KAŁUSKI;991260965;aleksanderkałuski522@gmail.com
100;LEO;STALMACH;358888103;leostalmach417@onet.pl
101;NIKOLA;WYRZYKOWSKA;610989301;nikolawyrzykowska218@wp.pl
102;LEO;DURA;285729471;leodura635@onet.pl
103;LIWIA;BOBROWSKA;551563349;liwiabobrowska736@onet.pl
104;DAWID;BLICHARZ;147488814;dawidblicharz391@wp.pl
105;NELA;KOZINA;676389819;nelakozina111@onet.pl
106;GABRIELA;WOJCIECHOWICZ;730080513;gabrielawojciechowicz967@gmail.com
107;LEO;TRAN;458170247;leotran593@wp.pl
108;LILIANNA;SYPNIEWSKA;160693320;liliannasypniewska945@wp.pl
109;NIKODEM;JONCZYK;154817306;nikodemjonczyk373@wp.pl
110;ALEKSANDRA;CIEŚLIK;388041099;aleksandracieślik614@wp.pl
111;ADAM;GRALA;566186479;adamgrala007@onet.pl
112;DANIEL;MALICKI;541097134;danielmalicki831@wp.pl
113;JAKUB;KŁOS;901953253;jakubkłos406@onet.pl
114;LEON;TLAŁKA;545989443;leontlałka063@onet.pl
115;KACPER;JARZĘBSKI;340056162;kacperjarzębski797@onet.pl
116;BARBARA;PAZIEWSKA;312451372;barbarapaziewska551@onet.pl
117;WERONIKA;POŚPIECH;170728925;weronikapośpiech178@gmail.com
118;ALEKSANDRA;ZADROŻNA;551578540;aleksandrazadrożna108@wp.pl
119;PAWEŁ;LISICKI;126622462;pawełlisicki138@onet.pl
120;BARTŁOMIEJ;KUBIS;976422790;bartłomiejkubis151@onet.pl
121;DOMINIK;DZIEKAN;138411486;dominikdziekan122@onet.pl
122;NADIA;GŁOWACKA;448682393;nadiagłowacka154@wp.pl
123;MICHALINA;ORZEŁ;910212671;michalinaorzeł464@gmail.com
124;ANASTAZJA;KUKLIŃSKA;821877468;anastazjakuklińska412@wp.pl
125;MILAN;TOMCZYK;159336476;milantomczyk477@wp.pl
126;HELENA;KALEMBA;775808479;helenakalemba051@gmail.com
127;KAZIMIERZ;ZDUŃCZYK;335879128;kazimierzzduńczyk164@wp.pl
128;ALEKSANDRA;HAVRYLIUK;483727996;aleksandrahavryliuk523@gmail.com
129;MILAN;LISIEWICZ;238082650;milanlisiewicz235@wp.pl
130;NIKOLA;GÓRAK;927686047;nikolagórak423@gmail.com
131;TADEUSZ;BAJKOWSKI;752875826;tadeuszbajkowski123@gmail.com
132;MARCEL;OLIWA;965875491;marceloliwa394@gmail.com
133;WERONIKA;KLIMCZYK;442728618;weronikaklimczyk080@onet.pl
134;TOMASZ;CHOŁUJ;272572736;tomaszchołuj066@gmail.com
135;WOJCIECH;FRĄCZYK;495731780;wojciechfrączyk791@onet.pl
136;LEO;ŁYSIK;219172963;leołysik529@onet.pl
137;MIKOŁAJ;NOWOCIEŃ;700615064;mikołajnowocień816@wp.pl
138;DAWID;SURMACZ;901352019;dawidsurmacz552@wp.pl
139;LEO;KAŁUZIŃSKI;173590674;leokałuziński092@wp.pl
140;ARTUR;KONARZEWSKI;607323031;arturkonarzewski626@gmail.com
141;KUBA;STRĄK;590936534;kubastrąk304@gmail.com
142;GABRIEL;NAZARUK;554180447;gabrielnazaruk090@gmail.com
143;ZOFIA;ŚWIEBODA;266137744;zofiaświeboda972@wp.pl
144;PIOTR;WISZOWATY;998562756;piotrwiszowaty359@onet.pl
145;LENA;HERMANN;650558639;lenahermann262@gmail.com
146;HELENA;KOSIK;828593682;helenakosik430@gmail.com
147;NIKODEM;ANTOSIEWICZ;165309634;nikodemantosiewicz274@gmail.com
148;ARTUR;LELEK;942604674;arturlelek803@gmail.com
149;MILENA;MROCZEK;286689018;milenamroczek609@onet.pl
150;ANNA;SIEKIERSKA;200352469;annasiekierska223@wp.pl
151;ROZALIA;BIŃCZYK;675842202;rozaliabińczyk852@gmail.com
152;MACIEJ;JASKOT;311740584;maciejjaskot439@onet.pl
153;IGA;ZABOROWSKA;757357466;igazaborowska142@gmail.com
154;CEZARY;RODZIK;743487638;cezaryrodzik586@gmail.com
155;NINA;HAŁASA;848510371;ninahałasa578@onet.pl
156;LAURA;ZIOBRO;512695054;lauraziobro852@onet.pl
157;MICHALINA;PODLEWSKA;781547990;michalinapodlewska996@onet.pl
158;STANISŁAW;PIWOWARSKI;771420949;stanisławpiwowarski626@wp.pl
159;ANIELA;BOBIŃSKA;559643851;anielabobińska739@wp.pl
160;OLIWIER;MIAZEK;553185367;oliwiermiazek508@gmail.com
161;IGNACY;SZCZESNY;737707024;ignacyszczesny132@gmail.com
162;GABRIEL;ŻĄDŁO;298854210;gabrielżądło863@wp.pl
163;LENA;KURZYŃSKA;197650924;lenakurzyńska861@gmail.com
164;ARTUR;BRODOWSKI;601420291;arturbrodowski418@gmail.com
165;ALAN;KLASA;560483151;alanklasa304@gmail.com
166;KRZYSZTOF;KUCZ;296942428;krzysztofkucz005@wp.pl
167;PAWEŁ;GĄSIOREK;760466848;pawełgąsiorek444@wp.pl
168;PAWEŁ;LANDOWSKI;530272883;pawełlandowski893@onet.pl
169;SZYMON;MARCISZ;298275336;szymonmarcisz068@wp.pl
170;AMELIA;RADEK;173371774;ameliaradek818@gmail.com
171;OLIWIA;MALARZ;507069861;oliwiamalarz977@gmail.com
172;NATALIA;RACHWAŁ;624418544;nataliarachwał073@wp.pl
173;MELANIA;BORUCH;198925190;melaniaboruch282@gmail.com
174;ZUZANNA;DANKOWSKA;354114252;zuzannadankowska920@onet.pl
175;ALEKSANDRA;NADOLNA;149875464;aleksandranadolna212@gmail.com
176;DOMINIK;KOTOWSKI;201013133;dominikkotowski022@gmail.com
177;ZUZANNA;BEDNARZ;392754239;zuzannabednarz163@gmail.com
178;ADAM;ROGÓŻ;773223220;adamrogóż877@onet.pl
179;ELIZA;KROGULEC;822835459;elizakrogulec217@onet.pl
180;GABRIELA;PASIUT;104293315;gabrielapasiut218@gmail.com
181;KACPER;ZBOROWSKI;367455578;kacperzborowski621@wp.pl
182;LILIANA;BRODZIŃSKA;218607858;lilianabrodzińska818@gmail.com
183;WANDA;ISKRA;235939528;wandaiskra554@gmail.com
184;KAMIL;ROMANOWICZ;594675424;kamilromanowicz308@onet.pl
185;JAŚMINA;BRATKOWSKA;835479098;jaśminabratkowska017@wp.pl
186;MARCEL;MISIAK;640102367;marcelmisiak836@wp.pl
187;PIOTR;PODBIELSKI;789161905;piotrpodbielski097@onet.pl
188;JAŚMINA;RYKOWSKA;736122147;jaśminarykowska066@onet.pl
189;JÓZEF;BIERNAT;613326124;józefbiernat008@onet.pl
190;WOJCIECH;FRYC;992817600;wojciechfryc469@gmail.com
191;KUBA;NAPIÓRKOWSKI;146586591;kubanapiórkowski617@wp.pl
192;LEON;TOMASIEWICZ;358235713;leontomasiewicz096@wp.pl
193;JAKUB;WĘGRZYN;436445411;jakubwęgrzyn004@wp.pl
194;MIŁOSZ;BEDNORZ;394687081;miłoszbednorz042@gmail.com
195;ZUZANNA;STUPAK;916589613;zuzannastupak459@onet.pl
196;MAJA;KOBUS;398298035;majakobus286@wp.pl
197;TYMON;RAJKOWSKI;929254509;tymonrajkowski007@wp.pl
198;LILIANA;KUŹMICZ;290286758;lilianakuźmicz181@wp.pl
199;LIWIA;SUDOŁ;327590070;liwiasudoł761@gmail.com
200;BARBARA;BECKER;665640072;barbarabecker930@wp.pl
201;LIWIA;JURCZAK;511989570;liwiajurczak394@gmail.com
202;KLARA;SARNECKA;624719741;klarasarnecka996@wp.pl
203;IGA;BARTKIEWICZ;685660031;igabartkiewicz042@wp.pl
204;BLANKA;JACAK;641228307;blankajacak325@onet.pl
205;MARIA;SOBOLEWSKA;643420303;mariasobolewska127@wp.pl
206;MATEUSZ;KACPROWICZ;645323407;mateuszkacprowicz512@onet.pl
207;POLA;TURSKA;682350791;polaturska015@wp.pl
208;IGOR;ORŁOWSKI;330934156;igororłowski127@onet.pl
209;WIKTORIA;JACZEWSKA;661410925;wiktoriajaczewska753@wp.pl
210;KSAWERY;JAŻDŻEWSKI;399281099;ksaweryjażdżewski969@wp.pl
211;SARA;STAŃCZUK;398691128;sarastańczuk138@wp.pl
212;KSAWERY;KUBIK;257937162;ksawerykubik474@wp.pl
213;EMILIA;CIEPLIŃSKA;392464417;emiliacieplińska458@gmail.com
214;ZUZANNA;BOICHUK;826144993;zuzannaboichuk272@onet.pl
215;MIKOŁAJ;SOBOŃ;248373378;mikołajsoboń708@onet.pl
216;GABRIEL;FIREK;622410491;gabrielfirek162@wp.pl
217;NINA;FRANEK;714730757;ninafranek310@gmail.com
218;JÓZEF;PIETRYGA;639861863;józefpietryga268@onet.pl
219;KAJETAN;LEMAŃSKI;676337169;kajetanlemański212@gmail.com
220;TYMOTEUSZ;KULEJ;289217388;tymoteuszkulej590@wp.pl
221;BRUNO;SUJKA;566990319;brunosujka192@onet.pl
222;MATYLDA;WIERZBIŃSKA;253293913;matyldawierzbińska487@onet.pl
223;STANISŁAW;NAZARUK;964640043;stanisławnazaruk007@onet.pl
224;GABRIELA;GRZYBOWSKA;330673389;gabrielagrzybowska229@wp.pl
225;KUBA;BABIŃSKI;393158015;kubababiński682@wp.pl
226;LILIANA;SAVCHUK;823724202;lilianasavchuk932@onet.pl
227;LEON;BARTOSIŃSKI;264561327;leonbartosiński465@onet.pl
228;FILIP;NOWORYTA;799417484;filipnoworyta330@onet.pl
229;NATAN;KOVTUN;945390704;natankovtun409@onet.pl
230;AURELIA;SOWIŃSKA;920124356;aureliasowińska579@wp.pl
231;MILAN;GORZELAK;594603752;milangorzelak777@gmail.com
232;NIKODEM;DAWIDZIUK;887169098;nikodemdawidziuk019@gmail.com
233;NIKOLA;SOBOTA;460057220;nikolasobota935@wp.pl
234;MICHALINA;CIOSEK;331586345;michalinaciosek723@gmail.com
235;HELENA;GANCARZ;732736170;helenagancarz902@onet.pl
236;WERONIKA;CHUDZIŃSKA;381559052;weronikachudzińska373@onet.pl
237;FABIAN;STUDZIŃSKI;348198522;fabianstudziński341@gmail.com
238;BARTOSZ;MATLAK;684034173;bartoszmatlak185@wp.pl
239;ALEKSANDER;PŁAZA;741648613;aleksanderpłaza793@onet.pl
240;LENA;GRZĄDZIEL;609709481;lenagrządziel760@gmail.com
241;IGA;KOPAŃSKA;878497642;igakopańska768@onet.pl
242;ZUZANNA;CHOIŃSKA;605284447;zuzannachoińska322@onet.pl
243;ALEKSANDER;MROZIK;846007849;aleksandermrozik557@gmail.com
244;ANNA;GRZYWACZEWSKA;511582636;annagrzywaczewska854@onet.pl
245;MAKSYMILIAN;GRĄDZKI;884460669;maksymiliangrądzki965@wp.pl
246;MAKSYMILIAN;CZAPSKI;240916593;maksymilianczapski467@gmail.com
247;ŁUCJA;PANFIL;920404604;łucjapanfil769@wp.pl
248;MAKSYMILIAN;CHYLIŃSKI;239062186;maksymilianchyliński788@gmail.com
249;MILENA;BOCHNAK;264146726;milenabochnak167@wp.pl
250;NIKOLA;GRZYWNA;657112010;nikolagrzywna271@gmail.com
251;AGATA;PRUSAK;110450067;agataprusak131@onet.pl
252;AMELIA;KOBA;299721576;ameliakoba499@wp.pl
253;ELIZA;JACAK;123653949;elizajacak827@wp.pl
254;ALICJA;KLIMCZAK;485917362;alicjaklimczak605@gmail.com
255;ANNA;WOJTCZAK;907373350;annawojtczak568@onet.pl
256;BORYS;OLCHAWA;765781574;borysolchawa983@gmail.com
257;GAJA;PIECHACZEK;739874875;gajapiechaczek345@wp.pl
258;OSKAR;PIETRYGA;461433185;oskarpietryga846@gmail.com
259;MARCELINA;SZLACHTA;617813189;marcelinaszlachta652@gmail.com
260;CEZARY;GRUDZIŃSKI;523169729;cezarygrudziński376@gmail.com
261;FRANCISZEK;BIAŁAS;388658568;franciszekbiałas773@gmail.com
262;LILIANA;DYL;125756622;lilianadyl218@onet.pl
263;KINGA;ROGOWSKA;225252679;kingarogowska474@wp.pl
264;STANISŁAW;PĘDZIWIATR;983489711;stanisławpędziwiatr140@wp.pl
265;OSKAR;MAROŃ;868827608;oskarmaroń514@gmail.com
266;FILIP;KRAMARCZYK;783516725;filipkramarczyk802@onet.pl
267;MIA;MOLSKA;135641190;miamolska220@gmail.com
268;MARCELINA;OZGA;659637455;marcelinaozga012@wp.pl
269;FRANCISZEK;GRUSZECKI;702296042;franciszekgruszecki287@onet.pl
270;BARTOSZ;KIM;531316249;bartoszkim651@wp.pl
271;ADAM;TRĘBACZ;191239089;adamtrębacz094@onet.pl
272;STANISŁAW;GŁOWIŃSKI;319088697;stanisławgłowiński598@wp.pl
273;AGATA;SZYMASZEK;305904215;agataszymaszek226@onet.pl
274;ANASTAZJA;MOSKAŁA;563140878;anastazjamoskała904@onet.pl
275;MARIA;BUDZIAK;175564990;mariabudziak010@wp.pl
276;FRANCISZEK;SZKLARSKI;430965340;franciszekszklarski781@gmail.com
277;JÓZEF;KABZIŃSKI;389600134;józefkabziński933@onet.pl
278;SZYMON;CHWASTEK;297785638;szymonchwastek845@wp.pl
279;STANISŁAW;DOMIN;119909347;stanisławdomin946@wp.pl
280;HANNA;ZEMŁA;689436451;hannazemła311@onet.pl
281;BLANKA;ŚLEZIAK;499389654;blankaśleziak885@gmail.com
282;RÓŻA;WODECKA;844102949;różawodecka326@gmail.com
283;LILIANNA;GANCARCZYK;817329577;liliannagancarczyk531@wp.pl
284;JÓZEF;GROCHALA;661224037;józefgrochala374@wp.pl
285;ALEKSANDRA;PYRA;441375936;aleksandrapyra440@wp.pl
286;HELENA;KONONENKO;148124390;helenakononenko309@wp.pl
287;MELANIA;CZOPEK;618222827;melaniaczopek578@onet.pl
288;BARBARA;MIROWSKA;352448734;barbaramirowska864@gmail.com
289;KORNELIA;SUJKA;775126493;korneliasujka900@wp.pl
290;WANDA;FLORKOWSKA;646543261;wandaflorkowska050@wp.pl
291;WITOLD;DANIELCZYK;461782146;witolddanielczyk336@wp.pl
292;ALEKSANDRA;OLSZOWY;548025958;aleksandraolszowy038@gmail.com
293;ANTONINA;PACIOREK;503167853;antoninapaciorek442@onet.pl
294;NELA;MARUT;614887915;nelamarut126@onet.pl
295;BRUNO;LEJA;506073491;brunoleja569@gmail.com
296;IGNACY;MACIASZEK;632971306;ignacymaciaszek711@onet.pl
297;KAZIMIERZ;SOBIK;847652762;kazimierzsobik772@onet.pl
298;LENA;GULCZYŃSKA;845477642;lenagulczyńska514@gmail.com
299;FABIAN;BERA;382065599;fabianbera162@onet.pl
300;JÓZEF;WIELICZKO;106286601;józefwieliczko669@onet.pl
301;KUBA;WNĘK;736946281;kubawnęk775@wp.pl
302;MAGDALENA;JASIK;538349033;magdalenajasik367@gmail.com
303;CEZARY;DETTLAFF;841242201;cezarydettlaff656@wp.pl
304;HANNA;SMITH;370906041;hannasmith438@gmail.com
305;MARIANNA;KOLESNYK;954224123;mariannakolesnyk904@wp.pl
306;KACPER;MILCZAREK;940816152;kacpermilczarek906@onet.pl
307;KAROL;WICIŃSKI;436305420;karolwiciński070@onet.pl
308;ZOFIA;MAŃKOWSKA;912097591;zofiamańkowska296@onet.pl
309;KAROL;LESZEK;526687105;karolleszek566@gmail.com
310;ELIZA;SZABŁOWSKA;819128439;elizaszabłowska677@wp.pl
311;MAJA;DOMAŃSKA;553697535;majadomańska566@onet.pl
312;MICHAŁ;KOTWICKI;400175916;michałkotwicki690@onet.pl
313;AURELIA;ŁAWRYNOWICZ;439173908;aureliaławrynowicz361@wp.pl
314;PIOTR;KAISER;544115705;piotrkaiser793@wp.pl
315;KAJA;WĘGLEWSKA;374692033;kajawęglewska049@wp.pl
316;PAWEŁ;ROKITA;520766606;pawełrokita195@wp.pl
317;EMILIA;WIKA;395671725;emiliawika588@gmail.com
318;LAURA;YAKOVENKO;258614993;laurayakovenko964@onet.pl
319;HELENA;RYCHERT;553952378;helenarychert453@gmail.com
320;STANISŁAW;KRAWCZAK;717320313;stanisławkrawczak226@wp.pl
321;KLARA;MAZUROWSKA;443115720;klaramazurowska004@gmail.com
322;MARCEL;RYCHLEWSKI;665569699;marcelrychlewski709@wp.pl
323;MIKOŁAJ;ŁOJEK;854371816;mikołajłojek142@gmail.com
324;JULIA;WALICKA;966140323;juliawalicka739@onet.pl
325;JAKUB;CIESZYŃSKI;294314201;jakubcieszyński999@gmail.com
326;ARTUR;KARKOSZKA;400545973;arturkarkoszka988@gmail.com
327;ADAM;SKRZYPCZAK;244901027;adamskrzypczak311@onet.pl
328;HENRYK;HOMA;886094496;henrykhoma505@wp.pl
329;KSAWERY;DZIKI;899393369;ksawerydziki510@gmail.com
330;FRANCISZEK;SIENIAWSKI;907195244;franciszeksieniawski388@wp.pl
331;MARCEL;BULIK;395741631;marcelbulik079@gmail.com
332;AMELIA;MATYS;564525312;ameliamatys533@gmail.com
333;LIWIA;DUSZYŃSKA;904115479;liwiaduszyńska060@onet.pl
334;MARTYNA;KOSTUCH;245587367;martynakostuch421@wp.pl
335;JAKUB;MOLĘDA;721384783;jakubmolęda579@gmail.com
336;JULIAN;GRABIŃSKI;262805460;juliangrabiński469@gmail.com
337;WIKTOR;HOLUB;496887926;wiktorholub759@gmail.com
338;JAŚMINA;MAJCHERCZYK;662737701;jaśminamajcherczyk707@wp.pl
339;NIKOLA;ROSSA;829267002;nikolarossa491@wp.pl
340;WITOLD;ADAM;499277906;witoldadam224@wp.pl
341;MARK;PAŚKO;353251288;markpaśko438@gmail.com
342;LEON;RATAJ;633158773;leonrataj965@wp.pl
343;MELANIA;KALICKA;832779359;melaniakalicka051@onet.pl
344;BRUNO;GUZ;283743638;brunoguz481@onet.pl
345;KINGA;SITNIK;428830854;kingasitnik830@onet.pl
346;KUBA;CZECH;344651331;kubaczech679@onet.pl
347;KUBA;ROGALSKI;402306374;kubarogalski307@gmail.com
348;MELANIA;PAUL;394518079;melaniapaul513@gmail.com
349;MICHAŁ;SZAFRANEK;431631878;michałszafranek648@onet.pl
350;MELANIA;KRAKOWSKA;743042197;melaniakrakowska804@onet.pl
351;MELANIA;PIKULSKA;129848410;melaniapikulska111@wp.pl
352;ADRIANNA;MADEJA;471052193;adriannamadeja588@wp.pl
353;KSAWERY;LICHOŃ;364721413;ksawerylichoń364@gmail.com
354;WOJCIECH;CEGIELSKI;316145775;wojciechcegielski737@onet.pl
355;JULIA;PIECH;829878526;juliapiech657@onet.pl
356;LENA;RZECZKOWSKA;897482199;lenarzeczkowska019@gmail.com
357;HELENA;KRASIŃSKA;477412855;helenakrasińska815@wp.pl
358;ADRIANNA;SKRZYNIARZ;942578925;adriannaskrzyniarz612@onet.pl
359;MAKSYMILIAN;SMIRNOV;376287587;maksymiliansmirnov279@wp.pl
360;BARTOSZ;TUTAJ;746396958;bartosztutaj905@gmail.com
361;AMELIA;SIWY;211144979;ameliasiwy467@onet.pl
362;LEON;ŚLUSARSKI;556529245;leonślusarski550@gmail.com
363;ELIZA;DAWIDOWSKA;852355017;elizadawidowska196@onet.pl
364;BARTŁOMIEJ;KUNIKOWSKI;371126689;bartłomiejkunikowski409@wp.pl
365;MELANIA;KASPRZAK;912422195;melaniakasprzak568@onet.pl
366;MICHALINA;KUCHERENKO;274560230;michalinakucherenko806@onet.pl
367;JULIAN;PATEL;438174089;julianpatel537@onet.pl
368;ARTUR;PILCH;812887904;arturpilch219@onet.pl
369;HUBERT;FORNALCZYK;175540145;hubertfornalczyk072@wp.pl
370;WERONIKA;MURAWSKA;286122756;weronikamurawska588@onet.pl
371;KRZYSZTOF;KOPACZ;854264971;krzysztofkopacz414@wp.pl
372;FABIAN;GOŁAŚ;308619837;fabiangołaś487@onet.pl
373;MIKOŁAJ;SOBCZUK;983931117;mikołajsobczuk423@onet.pl
374;MAGDALENA;KORZENIOWSKA;572857080;magdalenakorzeniowska634@wp.pl
375;MIA;KLECHA;661167316;miaklecha311@wp.pl
376;WIKTORIA;SMOLARZ;917093498;wiktoriasmolarz874@wp.pl
377;DANIEL;MIERZWIŃSKI;355340604;danielmierzwiński524@wp.pl
378;DOMINIK;STRUGAŁA;689932227;dominikstrugała770@gmail.com
379;MARIANNA;PIASTA;900696098;mariannapiasta837@onet.pl
380;HELENA;JAKÓBCZAK;392615844;helenajakóbczak728@onet.pl
381;JAGODA;PANKOWSKA;213788871;jagodapankowska415@gmail.com
382;NIKODEM;KONARZEWSKI;930828491;nikodemkonarzewski313@onet.pl
383;MATEUSZ;KARPENKO;281037737;mateuszkarpenko414@gmail.com
384;ELIZA;WOŁOSZYN;356470104;elizawołoszyn469@wp.pl
385;PAWEŁ;PUSTELNIK;111000017;pawełpustelnik257@onet.pl
386;ANNA;HOMA;605947544;annahoma870@onet.pl
387;ALEKSANDER;RZĄSA;431195237;aleksanderrząsa129@wp.pl
