id_pracownika;imię;nazwisko;stanowisko;numer telefonu;adres email
55;Aleksander;Brol;przewodnik;586648136;aleksanderbrol088@nowowiejska.com
56;Maksymilian;Rogala;przewodnik;198978293;maksymilianrogala307@nowowiejska.com
57;Bartłomiej;Krysiński;przewodnik;550113555;bartłomiejkrysiński341@nowowiejska.com
58;Daniel;Hildebrandt;przewodnik;241003091;danielhildebrandt978@nowowiejska.com
59;Dominik;Pasiński;przewodnik;707792514;dominikpasiński973@nowowiejska.com
60;Tomasz;Latawiec;przewodnik;919468116;tomaszlatawiec908@nowowiejska.com
61;Leo;Grzelak;przewodnik;828592647;leogrzelak621@nowowiejska.com
62;Ksawery;Lenart;przewodnik;476254295;ksawerylenart391@nowowiejska.com
63;Ksawery;Mierzwiński;przewodnik;715568267;ksawerymierzwiński303@nowowiejska.com
64;Maciej;Cieśliński;przewodnik;414418981;maciejcieśliński051@nowowiejska.com
65;Jan;Leszczyński;przewodnik;117122141;janleszczyński267@nowowiejska.com
66;Leon;Kowalewski;przewodnik;262539455;leonkowalewski973@nowowiejska.com
67;Michał;Fedorov;przewodnik;496449374;michałfedorov871@nowowiejska.com
68;Karol;Abramczyk;przewodnik;178411466;karolabramczyk611@nowowiejska.com
69;Henryk;Kosik;przewodnik;185050027;henrykkosik507@nowowiejska.com
70;Kacper;Pajewski;przewodnik;363718141;kacperpajewski882@nowowiejska.com
71;Tomasz;Sopata;przewodnik;474781272;tomaszsopata955@nowowiejska.com
72;Tymon;Kucher;przewodnik;855881756;tymonkucher160@nowowiejska.com
73;Kazimierz;Strzałka;przewodnik;146101937;kazimierzstrzałka740@nowowiejska.com
74;Mateusz;Paruzel;przewodnik;704841372;mateuszparuzel157@nowowiejska.com
75;Teodor;Kuśmierczyk;przewodnik;668665335;teodorkuśmierczyk948@nowowiejska.com
76;Tymoteusz;Stefańczyk;przewodnik;524597331;tymoteuszstefańczyk588@nowowiejska.com
77;Aleksander;Bogacz;przewodnik;900873342;aleksanderbogacz733@nowowiejska.com
78;Oliwier;Łaciak;przewodnik;777585026;oliwierłaciak614@nowowiejska.com
79;Witold;Chojnicki;przewodnik;466643102;witoldchojnicki837@nowowiejska.com
80;Dominik;Janowicz;przewodnik;839955603;dominikjanowicz336@nowowiejska.com
81;Wojciech;Kiraga;przewodnik;794350157;wojciechkiraga624@nowowiejska.com
82;Kuba;Kłusek;przewodnik;158318898;kubakłusek453@nowowiejska.com
83;Tadeusz;Andruszkiewicz;przewodnik;293969316;tadeuszandruszkiewicz605@nowowiejska.com
84;Borys;Ruda;przewodnik;289127672;borysruda424@nowowiejska.com
85;Dawid;Żukowski;przewodnik;674158032;dawidżukowski068@nowowiejska.com
86;Tomasz;Sidorowicz;przewodnik;753799359;tomaszsidorowicz308@nowowiejska.com
87;Michał;Galik;przewodnik;126367842;michałgalik445@nowowiejska.com
88;Aleksander;Filipczuk;przewodnik;898646506;aleksanderfilipczuk641@nowowiejska.com
89;Wiktor;Poźniak;przewodnik;884403268;wiktorpoźniak885@nowowiejska.com
90;Julian;Czapliński;przewodnik;370942265;julianczapliński685@nowowiejska.com
91;Hubert;Tusiński;przewodnik;388177491;huberttusiński788@nowowiejska.com
92;Leo;Głodowski;przewodnik;182277481;leogłodowski033@nowowiejska.com
93;Karol;Wojnarowski;przewodnik;157246455;karolwojnarowski198@nowowiejska.com
94;Teodor;Kornaś;przewodnik;228051925;teodorkornaś014@nowowiejska.com
95;Dominik;Józwik;przewodnik;687122709;dominikjózwik832@nowowiejska.com
96;Jakub;Janczak;kierowca;957849710;jakubjanczak554@nowowiejska.com
97;Wojciech;Bronowicki;kierowca;419998056;wojciechbronowicki903@nowowiejska.com
98;Aleksander;Czarnecki;kierowca;921109983;aleksanderczarnecki623@nowowiejska.com
99;Bartosz;Radecki;kierowca;447614454;bartoszradecki033@nowowiejska.com
100;Milan;Dymek;kierowca;494793720;milandymek083@nowowiejska.com
101;Nikodem;Pociecha;kierowca;822116732;nikodempociecha964@nowowiejska.com
102;Kajetan;Dziwisz;kierowca;521241990;kajetandziwisz980@nowowiejska.com
103;Milan;Konsek;kierowca;106807390;milankonsek944@nowowiejska.com
104;Kacper;Kuzmenko;kierowca;467614845;kacperkuzmenko230@nowowiejska.com
105;Ksawery;Kolczyński;kierowca;919509613;ksawerykolczyński199@nowowiejska.com
106;Mateusz;Wysoczański;kierowca;880086765;mateuszwysoczański303@nowowiejska.com
107;Leon;Kryger;kierowca;519993400;leonkryger218@nowowiejska.com
108;Bartłomiej;Sieczka;kierowca;230248618;bartłomiejsieczka397@nowowiejska.com
109;Kamil;Obrzut;kierowca;842997548;kamilobrzut700@nowowiejska.com
110;Igor;Smołka;kierowca;905034235;igorsmołka311@nowowiejska.com
111;Mark;Wątor;kierowca;175672940;markwątor058@nowowiejska.com
112;Mark;Wilk;kierowca;119588089;markwilk978@nowowiejska.com
113;Ignacy;Wosik;kierowca;387800097;ignacywosik590@nowowiejska.com
114;Ignacy;Maciaszczyk;kierowca;806767865;ignacymaciaszczyk888@nowowiejska.com
115;Maciej;Drąg;kierowca;787293949;maciejdrąg726@nowowiejska.com
116;Oliwier;Kryszak;kierowca;265132388;oliwierkryszak055@nowowiejska.com
117;Józef;Jakubas;kierowca;310432132;józefjakubas824@nowowiejska.com
118;Fabian;Konefał;kierowca;606837148;fabiankonefał141@nowowiejska.com
119;Kazimierz;Bonisławski;kierowca;916813296;kazimierzbonisławski534@nowowiejska.com
120;Tymon;Jarzyński;kierowca;347844943;tymonjarzyński987@nowowiejska.com
121;Igor;Matuszczyk;kierowca;134372937;igormatuszczyk918@nowowiejska.com
122;Karol;Wołosz;kierowca;936889574;karolwołosz653@nowowiejska.com
123;Wiktor;Seremak;kierowca;977119232;wiktorseremak363@nowowiejska.com
124;Ignacy;Levytskyi;kierowca;930462285;ignacylevytskyi509@nowowiejska.com
125;Fabian;Oleś;kierowca;909590895;fabianoleś354@nowowiejska.com
126;Tadeusz;Grzęda;kierowca;281193042;tadeuszgrzęda963@nowowiejska.com
127;Józef;Kaszubowski;kierowca;894485570;józefkaszubowski670@nowowiejska.com
128;Marcel;Krzempek;kierowca;749051381;marcelkrzempek565@nowowiejska.com
129;Mark;Salwa;kierowca;587192424;marksalwa522@nowowiejska.com
130;Teodor;Abramowski;kierowca;845021175;teodorabramowski844@nowowiejska.com
131;Jakub;Koval;kierowca;754210973;jakubkoval256@nowowiejska.com
132;Krzysztof;Gwiżdż;kierowca;157877401;krzysztofgwiżdż741@nowowiejska.com
133;Filip;Politowski;kierowca;440651248;filippolitowski068@nowowiejska.com
134;Alan;Bilski;kierowca;950146524;alanbilski390@nowowiejska.com
135;Filip;Olszówka;kierowca;517388594;filipolszówka171@nowowiejska.com
136;Bartłomiej;Juda;kierowca;154708657;bartłomiejjuda949@nowowiejska.com
137;Filip;Czyż;kierowca;467437355;filipczyż887@nowowiejska.com
138;Krzysztof;Woch;kierowca;767949294;krzysztofwoch814@nowowiejska.com
139;Tymon;Gruba;kierowca;855845000;tymongruba114@nowowiejska.com
140;Natan;Kisielewski;kierowca;186399125;natankisielewski987@nowowiejska.com
141;Daniel;Filipowski;kierowca;586577087;danielfilipowski289@nowowiejska.com
142;Tymoteusz;Jopek;kierowca;664461364;tymoteuszjopek142@nowowiejska.com
143;Cezary;Kuś;kierowca;133420756;cezarykuś511@nowowiejska.com
144;Witold;Wiktorowicz;kierowca;462596936;witoldwiktorowicz515@nowowiejska.com
145;Milan;Siudak;kierowca;288973580;milansiudak381@nowowiejska.com
