id_pracownika;imie;nazwisko;stanowisko;numer_telefonu;adres_email
111;Oliwia;Borkowska;przewodnik;273300161;oliwiaborkowska566@nowowiejska.com
112;Helena;Gawęda;przewodnik;744768285;helenagawęda492@nowowiejska.com
113;Anastazja;Grabarek;przewodnik;804622443;anastazjagrabarek628@nowowiejska.com
114;Zuzanna;Kopaczewska;przewodnik;869296852;zuzannakopaczewska345@nowowiejska.com
115;Lilianna;Siewierska;przewodnik;916948992;liliannasiewierska117@nowowiejska.com
116;Nela;Radwańska;przewodnik;495016063;nelaradwańska900@nowowiejska.com
117;Róża;Kruk;przewodnik;682202020;różakruk139@nowowiejska.com
118;Aniela;Kalemba;przewodnik;877812294;anielakalemba171@nowowiejska.com
119;Lilianna;Janusz;przewodnik;702551542;liliannajanusz493@nowowiejska.com
120;Eliza;Ambroziak;przewodnik;291138230;elizaambroziak670@nowowiejska.com
121;Eliza;Tworek;przewodnik;711989538;elizatworek322@nowowiejska.com
122;Magdalena;Pokorska;przewodnik;883090676;magdalenapokorska577@nowowiejska.com
123;Hanna;Dereń;przewodnik;375164876;hannadereń800@nowowiejska.com
124;Kinga;Romańczuk;przewodnik;230491812;kingaromańczuk247@nowowiejska.com
125;Aniela;Matuszak;przewodnik;156197685;anielamatuszak388@nowowiejska.com
126;Kaja;Radzka;przewodnik;543858071;kajaradzka180@nowowiejska.com
127;Blanka;Traczyk;przewodnik;724865319;blankatraczyk684@nowowiejska.com
128;Weronika;Perka;przewodnik;552364439;weronikaperka699@nowowiejska.com
129;Łucja;Kłys;przewodnik;438682342;łucjakłys220@nowowiejska.com
130;Julia;Graf;przewodnik;276728221;juliagraf785@nowowiejska.com
131;Michalina;Bugała;przewodnik;541063313;michalinabugała583@nowowiejska.com
132;Klara;Vozniuk;przewodnik;878192837;klaravozniuk741@nowowiejska.com
133;Martyna;Babych;przewodnik;204638509;martynababych633@nowowiejska.com
134;Oliwia;Matysik;przewodnik;464570246;oliwiamatysik911@nowowiejska.com
135;Wiktoria;Kamecka;przewodnik;631414254;wiktoriakamecka089@nowowiejska.com
136;Antonina;Czyżak;przewodnik;618768323;antoninaczyżak795@nowowiejska.com
137;Magdalena;Kobylarz;przewodnik;730497706;magdalenakobylarz349@nowowiejska.com
138;Kinga;Korsak;przewodnik;325074380;kingakorsak085@nowowiejska.com
139;Zuzanna;Kasperek;przewodnik;112138091;zuzannakasperek765@nowowiejska.com
140;Michalina;Kisielewska;przewodnik;884235031;michalinakisielewska215@nowowiejska.com
141;Liliana;Truszkowska;przewodnik;965875403;lilianatruszkowska113@nowowiejska.com
142;Milena;Richter;przewodnik;946648317;milenarichter714@nowowiejska.com
143;Barbara;Grochowska;przewodnik;600116458;barbaragrochowska844@nowowiejska.com
144;Łucja;Wojtyczka;przewodnik;609672124;łucjawojtyczka078@nowowiejska.com
145;Liwia;Bielawa;przewodnik;509064533;liwiabielawa011@nowowiejska.com
146;Wanda;Fijołek;przewodnik;876312748;wandafijołek266@nowowiejska.com
147;Jagoda;Rogaczewska;przewodnik;688022597;jagodarogaczewska839@nowowiejska.com
148;Michalina;Kostrzewska;przewodnik;648047924;michalinakostrzewska331@nowowiejska.com
149;Natalia;Stańczak;przewodnik;255881815;nataliastańczak867@nowowiejska.com
150;Milena;Narloch;przewodnik;564484303;milenanarloch976@nowowiejska.com
151;Gabriela;Kacprzak;przewodnik;824724585;gabrielakacprzak563@nowowiejska.com
152;Kaja;Lysenko;przewodnik;468679377;kajalysenko768@nowowiejska.com
153;Iga;Chylińska;przewodnik;563060371;igachylińska155@nowowiejska.com
154;Gabriela;Majchrzyk;przewodnik;142939220;gabrielamajchrzyk092@nowowiejska.com
155;Anna;Zambrzycka;przewodnik;363816258;annazambrzycka288@nowowiejska.com
156;Nela;Kwidzińska;przewodnik;339593747;nelakwidzińska257@nowowiejska.com
157;Zuzanna;Jagielska;przewodnik;525700013;zuzannajagielska427@nowowiejska.com
158;Wiktoria;Stańczak;przewodnik;151459601;wiktoriastańczak170@nowowiejska.com
159;Lena;Gwizdała;przewodnik;209793501;lenagwizdała723@nowowiejska.com
160;Róża;Abram;przewodnik;360996625;różaabram950@nowowiejska.com
161;Jagoda;Modrzyńska;przewodnik;821746737;jagodamodrzyńska380@nowowiejska.com
162;Iga;Suszyńska;przewodnik;989747216;igasuszyńska608@nowowiejska.com
163;Anastazja;Mól;przewodnik;848142123;anastazjamól719@nowowiejska.com
164;Marcelina;Jackiewicz;przewodnik;513277101;marcelinajackiewicz044@nowowiejska.com
165;Wanda;Dmytrenko;przewodnik;509337138;wandadmytrenko259@nowowiejska.com
166;Agata;Kardas;przewodnik;182896045;agatakardas749@nowowiejska.com
167;Nadia;Grygiel;przewodnik;465793762;nadiagrygiel244@nowowiejska.com
168;Marianna;Trzaska;przewodnik;342355054;mariannatrzaska012@nowowiejska.com
169;Jagoda;Daszkiewicz;przewodnik;180240091;jagodadaszkiewicz190@nowowiejska.com
170;Martyna;Rogowska;przewodnik;401884988;martynarogowska992@nowowiejska.com
171;Liwia;Kostrzewa;przewodnik;415325204;liwiakostrzewa196@nowowiejska.com
172;Wiktoria;Polkowska;przewodnik;750897026;wiktoriapolkowska975@nowowiejska.com
173;Adrianna;Sobieraj;przewodnik;908551437;adriannasobieraj935@nowowiejska.com
174;Lena;Kaiser;przewodnik;624386175;lenakaiser670@nowowiejska.com
175;Matylda;Matecka;przewodnik;678052576;matyldamatecka957@nowowiejska.com
176;Nadia;Wąsowska;przewodnik;488924762;nadiawąsowska279@nowowiejska.com
177;Iga;Głaz;przewodnik;669858275;igagłaz845@nowowiejska.com
178;Klara;Zwolińska;przewodnik;778678178;klarazwolińska024@nowowiejska.com
179;Maria;Błaszczak;przewodnik;575441024;mariabłaszczak018@nowowiejska.com
180;Antonina;Solecka;przewodnik;589625518;antoninasolecka464@nowowiejska.com
181;Melania;Kondratowicz;przewodnik;826030866;melaniakondratowicz180@nowowiejska.com
182;Laura;Dzięcioł;przewodnik;696885602;lauradzięcioł541@nowowiejska.com
183;Anastazja;Ciesielska;przewodnik;724358800;anastazjaciesielska501@nowowiejska.com
184;Emilia;Opałka;przewodnik;582500876;emiliaopałka188@nowowiejska.com
185;Eliza;Młynek;przewodnik;388212689;elizamłynek844@nowowiejska.com
186;Amelia;Misiewicz;przewodnik;809090727;ameliamisiewicz491@nowowiejska.com
187;Nadia;Klein;kierowca;979781049;nadiaklein631@nowowiejska.com
188;Rozalia;Ratajska;kierowca;202498467;rozaliaratajska061@nowowiejska.com
189;Aurelia;Remiszewska;kierowca;837230582;aureliaremiszewska629@nowowiejska.com
190;Gabriela;Warda;kierowca;657988935;gabrielawarda709@nowowiejska.com
191;Nela;Teodorczyk;kierowca;601441167;nelateodorczyk589@nowowiejska.com
192;Maria;Winiarczyk;kierowca;436236937;mariawiniarczyk316@nowowiejska.com
193;Marianna;Łakoma;kierowca;582474859;mariannałakoma766@nowowiejska.com
194;Milena;Bujak;kierowca;519137185;milenabujak881@nowowiejska.com
195;Natalia;Mrozek;kierowca;846456266;nataliamrozek772@nowowiejska.com
196;Natalia;Gizińska;kierowca;241943745;nataliagizińska903@nowowiejska.com
197;Natalia;Łuszczek;kierowca;260198287;nataliałuszczek549@nowowiejska.com
198;Oliwia;Jarecka;kierowca;537994104;oliwiajarecka763@nowowiejska.com
199;Róża;Yaremchuk;kierowca;627664604;różayaremchuk043@nowowiejska.com
200;Blanka;Zatorska;kierowca;928164095;blankazatorska806@nowowiejska.com
201;Lilianna;Litwin;kierowca;275402171;liliannalitwin578@nowowiejska.com
202;Weronika;Karasiewicz;kierowca;383243116;weronikakarasiewicz746@nowowiejska.com
203;Gaja;Szynal;kierowca;653770039;gajaszynal585@nowowiejska.com
204;Natalia;Kotynia;kierowca;403710735;nataliakotynia143@nowowiejska.com
205;Wanda;Pawełek;kierowca;148883969;wandapawełek856@nowowiejska.com
206;Marcelina;Sak;kierowca;933441549;marcelinasak551@nowowiejska.com
207;Gabriela;Pawlas;kierowca;157196499;gabrielapawlas012@nowowiejska.com
208;Emilia;Napieraj;kierowca;715423606;emilianapieraj461@nowowiejska.com
209;Matylda;Bożek;kierowca;786297230;matyldabożek150@nowowiejska.com
210;Aniela;Biegańska;kierowca;692562485;anielabiegańska874@nowowiejska.com
211;Marcelina;Piechowska;kierowca;201945141;marcelinapiechowska772@nowowiejska.com
212;Kinga;Mizerska;kierowca;436981593;kingamizerska699@nowowiejska.com
213;Karolina;Koczur;kierowca;789718688;karolinakoczur805@nowowiejska.com
214;Anna;Plata;kierowca;104680182;annaplata169@nowowiejska.com
215;Maja;Walewska;kierowca;708254590;majawalewska354@nowowiejska.com
216;Jagoda;Maciejowska;kierowca;631794443;jagodamaciejowska264@nowowiejska.com
217;Anna;Miłkowska;kierowca;120762011;annamiłkowska327@nowowiejska.com
218;Iga;Wyszomirska;kierowca;635863128;igawyszomirska985@nowowiejska.com
219;Gaja;Budna;kierowca;493484811;gajabudna298@nowowiejska.com
220;Antonina;Tyrka;kierowca;234643352;antoninatyrka043@nowowiejska.com
221;Sara;Rożek;kierowca;747917423;sararożek145@nowowiejska.com
222;Weronika;Serdiuk;kierowca;107735951;weronikaserdiuk546@nowowiejska.com
223;Kaja;Regulska;kierowca;228459723;kajaregulska736@nowowiejska.com
224;Nadia;Majchrzyk;kierowca;963657490;nadiamajchrzyk306@nowowiejska.com
225;Nina;Napieraj;kierowca;534964348;ninanapieraj533@nowowiejska.com
226;Adrianna;Łabęcka;kierowca;645730542;adriannałabęcka928@nowowiejska.com
227;Nikola;Paduch;kierowca;448360459;nikolapaduch304@nowowiejska.com
228;Iga;Tereshchenko;kierowca;462908260;igatereshchenko495@nowowiejska.com
229;Pola;Starosta;kierowca;104319254;polastarosta731@nowowiejska.com
230;Maja;Wojciechowska;kierowca;347168050;majawojciechowska532@nowowiejska.com
231;Lilianna;Rajca;kierowca;805211649;liliannarajca160@nowowiejska.com
232;Zofia;Łysakowska;kierowca;273287379;zofiałysakowska695@nowowiejska.com
233;Matylda;Możdżeń;kierowca;808895029;matyldamożdżeń145@nowowiejska.com
234;Gabriela;Zięba;kierowca;479299892;gabrielazięba839@nowowiejska.com
235;Antonina;Pieniak;kierowca;522031192;antoninapieniak876@nowowiejska.com
236;Matylda;Gruszecka;kierowca;680338356;matyldagruszecka450@nowowiejska.com
237;Anastazja;Dera;kierowca;967232813;anastazjadera593@nowowiejska.com
238;Milena;Gryczka;kierowca;464726125;milenagryczka449@nowowiejska.com
239;Maria;Gorczyca;kierowca;815215244;mariagorczyca330@nowowiejska.com
240;Weronika;Wolska;kierowca;404446412;weronikawolska906@nowowiejska.com
241;Nikola;Jarząbek;kierowca;793516650;nikolajarząbek126@nowowiejska.com
242;Anastazja;Pająk;kierowca;505689012;anastazjapająk994@nowowiejska.com
243;Liwia;Sarnecka;kierowca;495978444;liwiasarnecka850@nowowiejska.com
244;Oliwia;Rachwalska;kierowca;259797405;oliwiarachwalska932@nowowiejska.com
245;Mia;Rak;kierowca;803463472;miarak486@nowowiejska.com
246;Blanka;Łowicka;kierowca;766259768;blankałowicka136@nowowiejska.com
247;Oliwia;Golba;kierowca;293779974;oliwiagolba906@nowowiejska.com
248;Wiktoria;Polit;kierowca;898942129;wiktoriapolit219@nowowiejska.com
249;Matylda;Łopata;kierowca;744569517;matyldałopata455@nowowiejska.com
250;Melania;Krzanowska;kierowca;122473635;melaniakrzanowska941@nowowiejska.com
251;Gaja;Maroń;kierowca;254951208;gajamaroń742@nowowiejska.com
252;Emilia;Bagińska;kierowca;825213570;emiliabagińska143@nowowiejska.com
253;Zofia;Obara;kierowca;103654294;zofiaobara769@nowowiejska.com
254;Anna;Karaszewska;kierowca;799933183;annakaraszewska868@nowowiejska.com
255;Nina;Błoch;kierowca;727625162;ninabłoch996@nowowiejska.com
256;Róża;Gawęda;kierowca;786482109;różagawęda264@nowowiejska.com
257;Alicja;Bielańska;kierowca;673073165;alicjabielańska893@nowowiejska.com
258;Marianna;Tyszka;kierowca;894369964;mariannatyszka265@nowowiejska.com
259;Iga;Miazek;kierowca;499895935;igamiazek702@nowowiejska.com
260;Rozalia;Babik;kierowca;261796041;rozaliababik931@nowowiejska.com
261;Lilianna;Stankowska;kierowca;887094950;liliannastankowska117@nowowiejska.com
262;Jaśmina;Wąsik;kierowca;199566968;jaśminawąsik352@nowowiejska.com
263;Anna;Przybyło;kierowca;819943721;annaprzybyło657@nowowiejska.com
264;Anastazja;Drogosz;kierowca;449678181;anastazjadrogosz985@nowowiejska.com
265;Helena;Bąkowska;kierowca;260930187;helenabąkowska664@nowowiejska.com
266;Antonina;Gawryluk;kierowca;815063098;antoninagawryluk894@nowowiejska.com
267;Wanda;Samborska;kierowca;807762092;wandasamborska559@nowowiejska.com
268;Milena;Tomkiewicz;kierowca;386426325;milenatomkiewicz004@nowowiejska.com
269;Marcelina;Sobieraj;kierowca;978613190;marcelinasobieraj284@nowowiejska.com
270;Kaja;Urbaniak;kierowca;878478182;kajaurbaniak866@nowowiejska.com
271;Alicja;Waszczuk;kierowca;309970749;alicjawaszczuk289@nowowiejska.com
272;Nadia;Musiałek;kierowca;782424402;nadiamusiałek900@nowowiejska.com
273;Amelia;Bartosińska;kierowca;961786886;ameliabartosińska453@nowowiejska.com
274;Amelia;Wołek;kierowca;991717855;ameliawołek852@nowowiejska.com
275;Anastazja;Soroka;kierowca;138661091;anastazjasoroka217@nowowiejska.com
276;Lilianna;Ścibor;kierowca;837614482;liliannaścibor139@nowowiejska.com
277;Róża;Babenko;kierowca;928335338;różababenko523@nowowiejska.com
278;Aniela;Olszewska;kierowca;360702649;anielaolszewska943@nowowiejska.com
279;Magdalena;Polishchuk;kierowca;882494677;magdalenapolishchuk967@nowowiejska.com
280;Maksymilian;Markowski;przewodnik;638939713;maksymilianmarkowski025@nowowiejska.com
281;Antoni;Dzik;przewodnik;174834224;antonidzik252@nowowiejska.com
282;Milan;Matysiak;przewodnik;224409169;milanmatysiak908@nowowiejska.com
283;Maciej;Sobotka;przewodnik;355166216;maciejsobotka590@nowowiejska.com
284;Franciszek;Soliński;przewodnik;635128425;franciszeksoliński964@nowowiejska.com
285;Miłosz;Żukowski;przewodnik;859402233;miłoszżukowski841@nowowiejska.com
286;Alan;Filipczak;przewodnik;444686991;alanfilipczak617@nowowiejska.com
287;Teodor;Joński;przewodnik;839186884;teodorjoński909@nowowiejska.com
288;Karol;Seroczyński;przewodnik;714700780;karolseroczyński047@nowowiejska.com
289;Oliwier;Czarnik;przewodnik;903013760;oliwierczarnik411@nowowiejska.com
290;Cezary;Gniewek;przewodnik;691670739;cezarygniewek858@nowowiejska.com
291;Tymoteusz;Kaniewski;przewodnik;665905917;tymoteuszkaniewski896@nowowiejska.com
292;Antoni;Jaźwiński;przewodnik;301058263;antonijaźwiński216@nowowiejska.com
293;Józef;Lewiński;przewodnik;187493237;józeflewiński428@nowowiejska.com
294;Daniel;Sokół;przewodnik;946677509;danielsokół013@nowowiejska.com
295;Igor;Magda;przewodnik;322724902;igormagda577@nowowiejska.com
296;Kazimierz;Makuch;przewodnik;569954781;kazimierzmakuch613@nowowiejska.com
297;Leon;Kosiba;przewodnik;713019337;leonkosiba136@nowowiejska.com
298;Nikodem;Lee;przewodnik;692668405;nikodemlee651@nowowiejska.com
299;Nikodem;Karasek;przewodnik;196011022;nikodemkarasek818@nowowiejska.com
300;Julian;Głowiński;przewodnik;943409908;juliangłowiński552@nowowiejska.com
301;Natan;Knitter;przewodnik;613666418;natanknitter201@nowowiejska.com
302;Dominik;Stolc;przewodnik;426501456;dominikstolc392@nowowiejska.com
303;Daniel;Miazek;przewodnik;330050660;danielmiazek112@nowowiejska.com
304;Borys;Pietrasik;przewodnik;645113358;boryspietrasik912@nowowiejska.com
305;Tomasz;Krasnodębski;przewodnik;454247069;tomaszkrasnodębski482@nowowiejska.com
306;Daniel;Ciechanowski;przewodnik;417595645;danielciechanowski652@nowowiejska.com
307;Kacper;Dębiec;przewodnik;298696607;kacperdębiec367@nowowiejska.com
308;Teodor;Mioduszewski;przewodnik;578572797;teodormioduszewski538@nowowiejska.com
309;Leo;Poręba;przewodnik;102941461;leoporęba091@nowowiejska.com
310;Teodor;Skrzypiński;przewodnik;987035197;teodorskrzypiński676@nowowiejska.com
311;Natan;Szumski;przewodnik;346794338;natanszumski053@nowowiejska.com
312;Nikodem;Czuba;przewodnik;557885657;nikodemczuba936@nowowiejska.com
313;Ksawery;Mędrek;przewodnik;377477947;ksawerymędrek214@nowowiejska.com
314;Mikołaj;Jarząb;przewodnik;241162345;mikołajjarząb510@nowowiejska.com
315;Oliwier;Lipiński;przewodnik;177996690;oliwierlipiński181@nowowiejska.com
316;Miłosz;Rykowski;przewodnik;690801021;miłoszrykowski865@nowowiejska.com
317;Milan;Mikuła;przewodnik;976245132;milanmikuła490@nowowiejska.com
318;Borys;Kosowski;przewodnik;680335825;boryskosowski508@nowowiejska.com
319;Szymon;Jachym;przewodnik;321154972;szymonjachym893@nowowiejska.com
320;Kamil;Szczyrba;przewodnik;716166823;kamilszczyrba970@nowowiejska.com
321;Dawid;Deska;przewodnik;150145457;dawiddeska799@nowowiejska.com
322;Teodor;Koperski;przewodnik;889833937;teodorkoperski939@nowowiejska.com
323;Artur;Rytel;przewodnik;484059479;arturrytel691@nowowiejska.com
324;Szymon;Zięba;przewodnik;637204846;szymonzięba739@nowowiejska.com
325;Szymon;Bryś;przewodnik;255210824;szymonbryś298@nowowiejska.com
326;Bruno;Czekański;przewodnik;169387673;brunoczekański847@nowowiejska.com
327;Tadeusz;Duma;przewodnik;199705228;tadeuszduma694@nowowiejska.com
328;Tomasz;Sęk;przewodnik;999221705;tomaszsęk127@nowowiejska.com
329;Borys;Szczepkowski;przewodnik;224275725;borysszczepkowski323@nowowiejska.com
330;Mark;Bielawa;przewodnik;951949280;markbielawa362@nowowiejska.com
331;Jan;Gosk;przewodnik;993750444;jangosk080@nowowiejska.com
332;Krzysztof;Grzesiak;przewodnik;153127544;krzysztofgrzesiak746@nowowiejska.com
333;Mark;Załęcki;przewodnik;268169446;markzałęcki687@nowowiejska.com
334;Marcel;Płoskonka;przewodnik;336930656;marcelpłoskonka500@nowowiejska.com
335;Igor;Bajor;przewodnik;613053732;igorbajor027@nowowiejska.com
336;Gabriel;Zdeb;przewodnik;438556912;gabrielzdeb600@nowowiejska.com
337;Igor;Łojewski;przewodnik;534740631;igorłojewski631@nowowiejska.com
338;Mikołaj;Lasoń;przewodnik;250924091;mikołajlasoń151@nowowiejska.com
339;Oskar;Wachowiak;przewodnik;766273227;oskarwachowiak195@nowowiejska.com
